Table: Phase boundary pressure [L, G]
Temperature {K} 	Phase boundary pressure {kPa} 	Uncertainty {kPa} 
216.592	518.0	1.0
220	599.1	1.2
224	706.2	1.4
228	827.0	1.7
232	962.6	1.9
236	1114.1	2.2
240	1282.5	2.6
244	1469.0	2.9
248	1674.6	3.3
252	1900.7	3.8
256	2148.3	4.3
260	2418.8	4.8
264	2713.4	5.4
268	3033.4	6.1
272	3380.2	6.8
276	3755.5	7.5
280	4160.7	8.3
284	4597.8	9.2
288	5069	10
292	5576	11
296	6123	12
300	6713	13
304	7356	15
