Table: Viscosity [G]
Temperature {K} 	Pressure {kPa} 	Viscosity {Pa·s} 	Uncertainty {Pa·s} 
236	200	1.1825000e-5	6.3e-11
236	400	1.190460e-5	2.8e-10
236	600	1.198920e-5	6.9e-10
236	800	1.20799e-5	1.4e-9
236	1000	1.21780e-5	2.5e-9
237	0.05	1.18e-5	1.2e-6
237	200	1.1875000e-5	6.2e-11
237	400	1.195400e-5	2.7e-10
237	600	1.203800e-5	6.7e-10
237	800	1.21279e-5	1.3e-9
237	1000	1.22250e-5	2.4e-9
238	0.05	1.19e-5	1.2e-6
238	200	1.1925000e-5	6e-11
238	400	1.200350e-5	2.6e-10
238	600	1.208690e-5	6.5e-10
238	800	1.21760e-5	1.3e-9
238	1000	1.22722e-5	2.3e-9
239	0.05	1.190100000000e-5	1e-16
239	200	1.1974900e-5	5.8e-11
239	400	1.205290e-5	2.5e-10
239	600	1.213570e-5	6.3e-10
239	800	1.22241e-5	1.2e-9
239	1000	1.23193e-5	2.2e-9
240	0.05	1.195130000000e-5	8.2e-16
240	200	1.2024800e-5	5.7e-11
240	400	1.210240e-5	2.5e-10
240	600	1.218460e-5	6.1e-10
240	800	1.22722e-5	1.2e-9
240	1000	1.23665e-5	2.1e-9
241	0.05	1.20e-5	1.2e-6
241	200	1.2074700e-5	5.6e-11
241	400	1.215170e-5	2.4e-10
241	600	1.223340e-5	5.9e-10
241	800	1.23203e-5	1.2e-9
241	1000	1.24137e-5	2e-9
241	1200	1.25149e-5	3.4e-9
242	0.05	1.21e-5	1.2e-6
242	200	1.2124500e-5	5.4e-11
242	400	1.220110e-5	2.3e-10
242	600	1.228220e-5	5.7e-10
242	800	1.23685e-5	1.1e-9
242	1000	1.24610e-5	2e-9
242	1200	1.25611e-5	3.2e-9
243	0.05	1.21e-5	1.2e-6
243	200	1.2174400e-5	5.3e-11
243	400	1.225050e-5	2.3e-10
243	600	1.233100e-5	5.5e-10
243	800	1.24166e-5	1.1e-9
243	1000	1.25082e-5	1.9e-9
243	1200	1.26072e-5	3.1e-9
244	0.05	1.22e-5	1.2e-6
244	200	1.2224200e-5	5.2e-11
244	400	1.229980e-5	2.2e-10
244	600	1.237980e-5	5.4e-10
244	800	1.24647e-5	1e-9
244	1000	1.25555e-5	1.8e-9
244	1200	1.26535e-5	3e-9
245	0.05	1.22e-5	1.2e-6
245	200	1.2273900e-5	5.1e-11
245	400	1.234910e-5	2.2e-10
245	600	1.242850e-5	5.2e-10
245	800	1.25128e-5	1e-9
245	1000	1.26028e-5	1.8e-9
245	1200	1.26997e-5	2.8e-9
246	0.05	1.23e-5	1.2e-6
246	200	1.2323700e-5	5e-11
246	400	1.239840e-5	2.1e-10
246	600	1.247730e-5	5.1e-10
246	800	1.256090e-5	9.8e-10
246	1000	1.26502e-5	1.7e-9
246	1200	1.27461e-5	2.7e-9
246	1400	1.28502e-5	4.2e-9
247	0.05	1.23e-5	1.2e-6
247	200	1.2373400e-5	4.9e-11
247	400	1.244770e-5	2.1e-10
247	600	1.252600e-5	5e-10
247	800	1.260900e-5	9.6e-10
247	1000	1.26975e-5	1.6e-9
247	1200	1.27925e-5	2.6e-9
247	1400	1.28953e-5	4e-9
248	0.05	1.24e-5	1.2e-6
248	200	1.2423100e-5	4.8e-11
248	400	1.249690e-5	2e-10
248	600	1.257480e-5	4.8e-10
248	800	1.265710e-5	9.3e-10
248	1000	1.27449e-5	1.6e-9
248	1200	1.28389e-5	2.5e-9
248	1400	1.29405e-5	3.9e-9
249	0.05	1.24e-5	1.2e-6
249	200	1.2472800e-5	4.7e-11
249	400	1.254620e-5	2e-10
249	600	1.262350e-5	4.7e-10
249	800	1.270520e-5	9e-10
249	1000	1.27922e-5	1.5e-9
249	1200	1.28853e-5	2.4e-9
249	1400	1.29858e-5	3.7e-9
250	0.05	1.25e-5	1.2e-6
250	200	1.2522400e-5	4.6e-11
250	400	1.259530e-5	1.9e-10
250	600	1.267210e-5	4.6e-10
250	800	1.275330e-5	8.8e-10
250	1000	1.28396e-5	1.5e-9
250	1200	1.29318e-5	2.3e-9
250	1400	1.30311e-5	3.6e-9
250	1600	1.31392e-5	5.3e-9
251	0.05	1.25e-5	1.3e-6
251	200	1.2572000e-5	4.5e-11
251	400	1.264450e-5	1.9e-10
251	600	1.272080e-5	4.5e-10
251	800	1.280140e-5	8.6e-10
251	1000	1.28870e-5	1.4e-9
251	1200	1.29783e-5	2.3e-9
251	1400	1.30766e-5	3.4e-9
251	1600	1.31832e-5	5e-9
252	0.05	1.26e-5	1.3e-6
252	200	1.2621500e-5	4.4e-11
252	400	1.269370e-5	1.9e-10
